"REST1","REST2","EMOTION","GAMBLING","LANGUAGE","MOTOR","RELATIONAL","SOCIAL","WM"
"REST1",1,0.9408284,0.4319527,0.5325444,0.4112426,0.1331361,0.3461538,0.3816568,0.5828402
"REST2",0.9408284,1,0.5325444,0.4497041,0.5739645,0.09171598,0.4378698,0.5236686,0.4763314
"EMOTION",0.4319527,0.5325444,1,0.7869822,0.7071006,0.1213018,0.8668639,0.8254438,0.7751479
"GAMBLING",0.5325444,0.4497041,0.7869822,1,0.5236686,0.1656805,0.7455621,0.6005917,0.9792899
"LANGUAGE",0.4112426,0.5739645,0.7071006,0.5236686,1,0.09763314,0.7248521,0.6952663,0.8017751
"MOTOR",0.1331361,0.09171598,0.1213018,0.1656805,0.09763314,1,0.2721893,0.2751479,0.6597633
"RELATIONAL",0.3461538,0.4378698,0.8668639,0.7455621,0.7248521,0.2721893,1,0.6804734,0.852071
"SOCIAL",0.3816568,0.5236686,0.8254438,0.6005917,0.6952663,0.2751479,0.6804734,1,0.7011834
"WM",0.5828402,0.4763314,0.7751479,0.9792899,0.8017751,0.6597633,0.852071,0.7011834,1
