"All_Sub_EMOTION_DC_GSR.mat.gz","All_Sub_EMOTION_DC.mat.gz","All_Sub_GAMBLING_DC_GSR.mat.gz","All_Sub_GAMBLING_DC.mat.gz","All_Sub_LANGUAGE_DC_GSR.mat.gz","All_Sub_LANGUAGE_DC.mat.gz","All_Sub_MOTOR_DC_GSR.mat.gz","All_Sub_MOTOR_DC.mat.gz","All_Sub_RELATIONAL_DC_GSR.mat.gz","All_Sub_RELATIONAL_DC.mat.gz","All_Sub_REST1_DC_GSR.mat.gz","All_Sub_REST1_DC.mat.gz","All_Sub_REST2_DC_GSR.mat.gz","All_Sub_REST2_DC.mat.gz","All_Sub_SOCIAL_DC_GSR.mat.gz","All_Sub_SOCIAL_DC.mat.gz","All_Sub_WM_DC_GSR.mat.gz","All_Sub_WM_DC.mat.gz"
"All_Sub_EMOTION_DC_GSR.mat.gz",1,0.9852071,0.739645,0.2633136,0.7130178,0.3224852,0.5207101,0.1745562,0.8846154,0.239645,0.6094675,0.1627219,0.6153846,0.1360947,0.8017751,0.239645,0.5857988,0.2278107
"All_Sub_EMOTION_DC.mat.gz",1,1,0.5118343,0.7189349,0.6035503,0.612426,0.4792899,0.5946746,0.8372781,0.8461538,0.3609467,0.5443787,0.3934911,0.6390533,0.5591716,0.7869822,0.5769231,0.6568047
"All_Sub_GAMBLING_DC_GSR.mat.gz",0.8017751,0.3491124,1,0.9763314,0.5502959,0.2514793,0.7751479,0.3698225,0.8491124,0.2633136,0.6597633,0.1804734,0.4467456,0.1213018,0.6153846,0.1568047,0.9142012,0.4408284
"All_Sub_GAMBLING_DC.mat.gz",0.7100592,0.647929,1,1,0.3994083,0.387574,0.6775148,0.8224852,0.7485207,0.6745562,0.3136095,0.6242604,0.1804734,0.4053254,0.2988166,0.5502959,0.8786982,0.9319527
"All_Sub_LANGUAGE_DC_GSR.mat.gz",0.795858,0.3698225,0.6923077,0.316568,1,0.9911243,0.5059172,0.1715976,0.7899408,0.3816568,0.6597633,0.2366864,0.7692308,0.2721893,0.7573964,0.4171598,0.6804734,0.2573964
"All_Sub_LANGUAGE_DC.mat.gz",0.7100592,0.6597633,0.387574,0.5769231,1,1,0.3994083,0.5443787,0.6301775,0.6331361,0.2662722,0.5029586,0.4260355,0.6213018,0.4733728,0.6656805,0.535503,0.6686391
"All_Sub_MOTOR_DC_GSR.mat.gz",0.8402367,0.4260355,0.9171598,0.4733728,0.6153846,0.2988166,1,0.9940828,0.7100592,0.295858,0.8786982,0.3402367,0.6656805,0.1656805,0.6301775,0.2869822,0.8816568,0.4792899
"All_Sub_MOTOR_DC.mat.gz",0.5887574,0.4733728,0.3639053,0.7366864,0.3431953,0.2869822,1,1,0.4585799,0.352071,0.2573964,0.6035503,0.1508876,0.4171598,0.1420118,0.352071,0.6508876,0.7218935
"All_Sub_RELATIONAL_DC_GSR.mat.gz",0.8106509,0.2869822,0.7189349,0.2573964,0.4201183,0.1508876,0.3668639,0.1656805,1,0.9260355,0.2781065,0.07988166,0.2633136,0.1094675,0.5591716,0.1804734,0.7159763,0.2307692
"All_Sub_RELATIONAL_DC.mat.gz",0.7011834,0.7869822,0.3964497,0.683432,0.408284,0.5,0.316568,0.4792899,1,1,0.1390533,0.3461538,0.1420118,0.3816568,0.3047337,0.6035503,0.6272189,0.7011834
"All_Sub_REST1_DC_GSR.mat.gz",0.7721893,0.3786982,0.6982249,0.2869822,0.5325444,0.2307692,0.7130178,0.2455621,0.4319527,0.1331361,1,0.9763314,0.8639053,0.2485207,0.5769231,0.1863905,0.6952663,0.2692308
"All_Sub_REST1_DC.mat.gz",0.6508876,0.4911243,0.316568,0.6094675,0.4142012,0.3461538,0.6656805,0.6775148,0.3994083,0.2988166,1,1,0.5,0.7159763,0.3284024,0.3994083,0.5502959,0.591716
"All_Sub_REST2_DC_GSR.mat.gz",0.8017751,0.4289941,0.5473373,0.2011834,0.6449704,0.3372781,0.556213,0.1923077,0.5621302,0.204142,0.8757396,0.3757396,1,0.9911243,0.6952663,0.2721893,0.5207101,0.1893491
"All_Sub_REST2_DC.mat.gz",0.7248521,0.5976331,0.2544379,0.4556213,0.5532544,0.4911243,0.5147929,0.4704142,0.5118343,0.4112426,0.6035503,0.7426036,1,1,0.4171598,0.535503,0.352071,0.4349112
"All_Sub_SOCIAL_DC_GSR.mat.gz",0.9201183,0.4556213,0.6420118,0.2721893,0.7721893,0.4556213,0.5236686,0.1420118,0.7928994,0.2869822,0.6420118,0.1775148,0.7071006,0.2426036,1,0.964497,0.5857988,0.2011834
"All_Sub_SOCIAL_DC.mat.gz",0.8491124,0.7337278,0.2810651,0.5887574,0.535503,0.4763314,0.443787,0.5266272,0.7159763,0.6627219,0.2514793,0.4911243,0.2721893,0.5710059,1,1,0.4556213,0.5650888
"All_Sub_WM_DC_GSR.mat.gz",0.7633136,0.3106509,0.964497,0.5059172,0.612426,0.2455621,0.8047337,0.3372781,0.8994083,0.3284024,0.6627219,0.2544379,0.3727811,0.1390533,0.5710059,0.1538462,1,0.9911243
"All_Sub_WM_DC.mat.gz",0.6449704,0.4911243,0.5414201,0.8757396,0.3491124,0.3372781,0.6538462,0.6863905,0.7988166,0.6804734,0.1863905,0.5266272,0.09467456,0.3017751,0.1627219,0.4408284,1,1
